word,count
türkiye,7
ülkemizin,5
kimse,5
mayıs,5
sizlerin,4
ülkenin,3
ferdi,3
tercihinizi,3
yana,3
yapın,3
aziz,2
bugün,2
farklı,2
geldik,2
ülkemize,2
sadece,2
demokrasi,2
kalkınma,2
eksiklerini,2
ortak,2
haline,2
kazandığında,2
ona,2
sormadı,2
küresel,2
olduğunu,2
başarılarıyla,2
gurur,2
gerek,2
takdir,2
alın,2
başında,2
eden,2
ediyoruz,2
milletimizin,2
hayali,2
hiçbir,2
seçimlerini,2
istiyoruz,2
ekonomik,2
günler,2
milletimiz,2
layıktır,2
biz,2
gittik,2
sizler,2
yılı,2
milletim,1
televizyon,1
ekranları,1
