trigram,count
cumhuriyet halk partisi,17
yüksek yetenek inşası,7
katma değeri yüksek,6
değeri yüksek ürün,6
emine şen yaşar,6
siyasi ahlak kanunu,5
yüksek seçim kurulu,5
yüksek disiplin kurulu,5
terör insanlık suçudur,4
ben adayım demedim,4
milyar milyon dolar,4
türkiye cumhuriyeti devleti,4
olağanüstü gelişmeler oluyor,3
siyaset konusu olmazsa,3
ortak mutabakat metni,3
büyükşehir belediye başkanı,3
güzel gelecek inşa,3
merkez yönetim kurulunda,3
dönem desinler dönem,3
dediğiniz andan itibaren,3
